district,week_start,week_end_sunday,iso_year,iso_week,imd_rain_mm,week_start_imd,nasa_prectotcorr,T2M_MAX,T2M_MIN,T2M,RH2M
Bagalkot,2018-03-05,2018-03-11,2018,10,0.0,2018-03-12,0.0,36.39,17.514285714285716,26.698571428571427,21.835714285714285
Bagalkot,2018-03-12,2018-03-18,2018,11,0.0,2018-03-19,0.0,37.527142857142856,18.59142857142857,27.90857142857143,23.177142857142854
Bagalkot,2018-03-19,2018-03-25,2018,12,0.0,2018-03-26,8.64,35.067142857142855,22.294285714285717,28.49714285714285,43.487142857142864
Bagalkot,2018-03-26,2018-04-01,2018,13,0.0,2018-04-02,0.0,38.184285714285714,21.648571428571422,29.72,29.774285714285718
Bagalkot,2018-04-02,2018-04-08,2018,14,0.0,2018-04-09,0.01,38.3,21.53,29.842857142857145,35.39142857142857
Bagalkot,2018-04-09,2018-04-15,2018,15,0.0,2018-04-16,13.7,37.58571428571429,23.01571428571429,30.195714285714285,42.00571428571429
Bagalkot,2018-04-16,2018-04-22,2018,16,0.0,2018-04-23,9.28,37.99142857142857,25.388571428571428,31.66857142857143,39.25428571428571
Bagalkot,2018-04-23,2018-04-29,2018,17,0.0,2018-04-30,1.88,40.53714285714285,23.704285714285717,32.23285714285714,37.637142857142855
Bagalkot,2018-04-30,2018-05-06,2018,18,0.0,2018-05-07,1.5,41.31571428571429,22.74571428571429,32.13857142857143,31.78
Bagalkot,2018-05-07,2018-05-13,2018,19,0.0,2018-05-14,1.03,40.42857142857143,24.947142857142858,32.77571428571429,36.63
Bagalkot,2018-05-14,2018-05-20,2018,20,0.0,2018-05-21,35.89,34.80428571428571,23.93,28.96,58.93857142857143
Bagalkot,2018-05-21,2018-05-27,2018,21,0.0,2018-05-28,28.59,35.85,22.898571428571422,28.752857142857145,63.13428571428572
Bagalkot,2018-05-28,2018-06-03,2018,22,0.0,2018-06-04,20.24,36.65571428571428,23.42142857142857,29.40857142857143,62.027142857142856
Bagalkot,2018-06-04,2018-06-10,2018,23,0.0,2018-06-11,53.87,32.47571428571428,23.762857142857143,27.30857142857143,74.84571428571428
Bagalkot,2018-06-11,2018-06-17,2018,24,0.0,2018-06-18,57.06,28.73,22.795714285714286,25.28142857142857,83.07000000000001
Bagalkot,2018-06-18,2018-06-24,2018,25,0.0,2018-06-25,3.96,30.860000000000003,22.7,26.07,76.81714285714285
Bagalkot,2018-06-25,2018-07-01,2018,26,0.0,2018-07-02,7.38,30.32,21.50142857142857,25.33857142857143,76.92714285714285
Bagalkot,2018-07-02,2018-07-08,2018,27,0.0,2018-07-09,7.48,30.367142857142856,21.874285714285715,25.301428571428573,75.58142857142856
Bagalkot,2018-07-09,2018-07-15,2018,28,0.0,2018-07-16,13.54,29.67,21.957142857142856,25.102857142857143,77.2042857142857
Bagalkot,2018-07-16,2018-07-22,2018,29,0.0,2018-07-23,21.28,30.277142857142856,22.115714285714287,25.282857142857143,78.34714285714287
Bagalkot,2018-07-23,2018-07-29,2018,30,0.0,2018-07-30,10.33,30.585714285714285,22.032857142857143,25.325714285714287,76.79857142857144
